Stock,Direction,Bull %,Bear %
"NSE:HUHTAMAKI,",BEARISH BIAS,20,80
"NSE:BLACKBUCK,",BEARISH BIAS,20,80
"NSE:CENTUM,",BEARISH BIAS,20,80
"NSE:APARINDS,",BEARISH BIAS,20,80
"NSE:BLUEJET,",BEARISH BIAS,20,80
"NSE:CAPILLARY,",BEARISH BIAS,20,80
"NSE:BBTC,",BEARISH BIAS,20,80
"NSE:ADANIPORTS,",BEARISH BIAS,20,80
"NSE:DHARMAJ,",BEARISH BIAS,20,80
"NSE:CHOICEIN,",BEARISH BIAS,20,80
"NSE:ATUL,",BEARISH BIAS,20,80
"NSE:GOCOLORS,",BEARISH BIAS,30,70
"NSE:BASF,",BEARISH BIAS,30,70
"NSE:CELLO,",BEARISH BIAS,30,70
"NSE:NIITMTS,",BEARISH BIAS,30,70
"NSE:CHOLAFIN,",BEARISH BIAS,30,70
"NSE:LIBERTSHOE,",BEARISH BIAS,30,70
"NSE:KIRIINDUS,",BEARISH BIAS,30,70
"NSE:BERGEPAINT,",BEARISH BIAS,30,70
"NSE:INDGN,",BEARISH BIAS,30,70
"NSE:MANYAVAR,",BEARISH BIAS,30,70
"NSE:APTUS,",BEARISH BIAS,30,70
"NSE:ASIANPAINT,",BEARISH BIAS,35,65
"NSE:KRSNAA,",BEARISH BIAS,35,65
"NSE:LOWVOLIETF,",BEARISH BIAS,35,65
"NSE:DIVOPPBEES,",BEARISH BIAS,35,65
"NSE:MAITHANALL,",BEARISH BIAS,35,65
"NSE:MAXESTATES,",BEARISH BIAS,35,65
"NSE:AJMERA,",BEARISH BIAS,35,65
"NSE:AGARIND,",BEARISH BIAS,35,65
"NSE:AFFLE,",BEARISH BIAS,35,65
"NSE:ADANIENSOL,",BEARISH BIAS,35,65
"NSE:ACI,",BEARISH BIAS,35,65
"NSE:KIRLOSIND,",BEARISH BIAS,35,65
"NSE:JSWSTEEL,",BEARISH BIAS,35,65
"NSE:KCP,",BEARISH BIAS,35,65
"NSE:INNOVACAP,",BEARISH BIAS,35,65
"NSE:EMSLIMITED,",BEARISH BIAS,35,65
"NSE:ERIS,",BEARISH BIAS,35,65
"NSE:FINPIPE,",BEARISH BIAS,35,65
"NSE:GRANULES,",BEARISH BIAS,35,65
"NSE:HIMATSEIDE,",BEARISH BIAS,35,65
"NSE:BANKBEES,",BEARISH BIAS,35,65
"NSE:NUVOCO,",BEARISH BIAS,35,65
"NSE:ITCHOTELS,",BEARISH BIAS,35,65
"NSE:BCLIND,",BEARISH BIAS,35,65
"NSE:BATAINDIA,",BEARISH BIAS,35,65
"NSE:JKCEMENT,",BEARISH BIAS,35,65
"NSE:MSUMI,",BEARISH BIAS,40,60
"NSE:MUFIN,",BEARISH BIAS,40,60
"NSE:BLSE,",BEARISH BIAS,40,60
"NSE:IPCALAB,",BEARISH BIAS,45,55
"NSE:INDUSINDBK,",BEARISH BIAS,45,55
"NSE:NDTV,",BEARISH BIAS,45,55
"NSE:GOODLUCK,",BEARISH BIAS,45,55
"NSE:JSWENERGY,",BEARISH BIAS,45,55
"NSE:BANKIETF,",BEARISH BIAS,45,55
"NSE:ADANIENT,",NEUTRAL,50,50
"NSE:ADVENTHTL,",NEUTRAL,50,50
"NSE:AKUMS,",NEUTRAL,50,50
"NSE:CARERATING,",NEUTRAL,50,50
"NSE:GMRP&UI,",NEUTRAL,50,50
"NSE:JASH,",NEUTRAL,50,50
"NSE:MOGOLD,",NEUTRAL,50,50
"NSE:MWL,",NEUTRAL,50,50
